collabora-1  | Certificate request self-signature ok
collabora-1  | subject=C=DE, ST=BW, L=Stuttgart, O=Dummy Authority, CN=localhost
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.219288 +0000 [ coolwsd ] DBG  Mounting [/opt/cool/systemplate] -> [/opt/cool/child-roots/1-e8133a08/cool_test_mount]| common/JailUtil.cpp:161
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.219700 +0000 [ coolwsd ] TRC  Executing coolmount command: /usr/bin/coolmount -b /opt/cool/systemplate /opt/cool/child-roots/1-e8133a08/cool_test_mount| common/JailUtil.cpp:154
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.224469 +0000 [ coolwsd ] ERR  Failed to bind-mount [/opt/cool/systemplate] -> [/opt/cool/child-roots/1-e8133a08/cool_test_mount]| common/JailUtil.cpp:169
collabora-1  | wsd-00019-00001 2026-03-01 11:52:06.225121 +0000 [ coolwsd ] ERR  Bind-Mounting fails and will be disabled for this run. To disable permanently set mount_jail_tree config entry in coolwsd.xml to false.| common/JailUtil.cpp:475
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.227555 +0000 [ coolwsd ] DBG  setupChildRoot status: 0| wsd/COOLWSD.cpp:1335
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.227623 +0000 [ coolwsd ] INF  Using Bind Mounting: false| wsd/COOLWSD.cpp:1337
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.227643 +0000 [ coolwsd ] INF  Using Mount Namespaces: false| wsd/COOLWSD.cpp:1339
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.227740 +0000 [ coolwsd ] DBG  FileServerRoot before config: | wsd/COOLWSD.cpp:1872
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.227769 +0000 [ coolwsd ] DBG  FileServerRoot after config: /usr/share/coolwsd| wsd/COOLWSD.cpp:1874
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.227994 +0000 [ coolwsd ] INF  Quarantine is disabled in config| wsd/COOLWSD.cpp:1901
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228016 +0000 [ coolwsd ] INF  Cache path is set to [/opt/cool/cache] in config| wsd/COOLWSD.cpp:1907
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228026 +0000 [ coolwsd ] TRC  Creating cache directory [/opt/cool/cache]| wsd/COOLWSD.cpp:1917
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228115 +0000 [ coolwsd ] DBG  Created cache directory [/opt/cool/cache]| wsd/COOLWSD.cpp:1920
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228344 +0000 [ coolwsd ] INF  Initializing Cache at [/opt/cool/cache]| wsd/CacheUtil.cpp:41
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228530 +0000 [ coolwsd ] INF  NumPreSpawnedChildren set to 4.| wsd/COOLWSD.cpp:1938
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228551 +0000 [ coolwsd ] INF  Registering filesystem for space checks: [/opt/cool/child-roots/1-e8133a08/.]| common/FileUtil.cpp:384
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228669 +0000 [ coolwsd ] INF  MAX_CONCURRENCY set to 4.| wsd/COOLWSD.cpp:1962
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228782 +0000 [ coolwsd ] INF  DISABLE_REDLINE set| wsd/COOLWSD.cpp:1981
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228870 +0000 [ coolwsd ] DBG  net::Defaults: Socket[inactivityTimeout 3600000000us, maxExtConnections 200000]| wsd/COOLWSD.cpp:2014
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228944 +0000 [ coolwsd ] INF  Maximum file descriptor supported by the system: 1048575| wsd/COOLWSD.cpp:2125
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.228952 +0000 [ coolwsd ] INF  Maximum number of open documents supported by the system: 262136| wsd/COOLWSD.cpp:2128
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.229806 +0000 [ coolwsd ] INF  Maximum concurrent open Documents limit: 1000000| wsd/COOLWSD.cpp:2131
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.229820 +0000 [ coolwsd ] INF  Maximum concurrent client Connections limit: 1000000| wsd/COOLWSD.cpp:2132
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.229856 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [192\.168\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.229876 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:192\.168\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.230214 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [127\.0\.0\.1]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.230230 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:127\.0\.0\.1]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.230240 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::1]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.230251 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [172\.1[6789]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231084 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:172\.1[6789]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231106 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [172\.2[0-9]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231116 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:172\.2[0-9]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231125 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [172\.3[01]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231434 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:172\.3[01]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231446 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [10\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231491 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:10\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231511 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [localhost]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231671 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [192\.168\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231684 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:192\.168\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231694 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [127\.0\.0\.1]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.231771 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:127\.0\.0\.1]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232014 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::1]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232061 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [172\.1[6789]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232073 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:172\.1[6789]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232082 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [172\.2[0-9]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232239 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:172\.2[0-9]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232253 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [172\.3[01]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232373 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:172\.3[01]\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232387 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [10\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232410 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [::ffff:10\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}]| wsd/COOLWSD.cpp:198
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232448 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW host: [backend]| wsd/COOLWSD.cpp:251
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.232465 +0000 [ coolwsd ] INF  Adding trusted LOK_ALLOW alias: [localhost]| wsd/COOLWSD.cpp:268
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.240733 +0000 [ coolwsd ] TRC  Initialize FileServerRequestHandler| wsd/COOLWSD.cpp:2170
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.243440 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.246216 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/l10n]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.351973 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/l10n/uno]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:06.714643 +0000 [ coolwsd ] TRC  Pre-read 133 file(s) from directory: /usr/share/coolwsd/browser/dist/l10n/uno: ko.json hsb.json da.json ca-valencia.json sq.json eu.json hu.json bn-IN.json ckb.json uk.json ru.json ts.json sr.json sw-TZ.json de.json ga.json ka.json eo.json rw.json hy.json ca.json mn.json gd.json kab.json xh.json kmr-Latn.json gu.json lt.json cs.json nl.json nso.json af.json kk.json ta.json mni.json si.json ur.json sah.json sl.json bo.json fy.json ks.json ja.json mr.json lo.json fr.json et.json gug.json dgo.json lv.json vi.json kl.json ss.json sat-Olck.json brx.json ast.json hr.json th.json el.json de-override.json fi.json ro.json he.json br.json ti.json ml.json ab.json pt.json es.json my.json be.json sa-IN.json cy.json es-override.json bn.json tg.json lb.json sk.json sr-Latn.json oc.json nb.json fur.json or.json zh-CN.json ar.json pt-BR.json tt.json ug.json ne.json it.json tl.json id.json jv.json kok.json te.json st.json mai.json vec.json tr.json ky.json as.json bg.json tn.json en-ZA.json nn.json sun.json sd.json gl.json sid.json zu.json am.json dz.json uz.json dsb.json kn.json en-GB.json nr.json zh-TW.json om.json ve.json mk.json hi.json fa.json bs.json sv.json az.json an.json pa-IN.json sat.json szl.json is.json pl.json km.json | wsd/FileServer.cpp:1406
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.293040 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/l10n/locore]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.532195 +0000 [ coolwsd ] TRC  Pre-read 132 file(s) from directory: /usr/share/coolwsd/browser/dist/l10n/locore: ko.json hsb.json da.json ca-valencia.json sq.json eu.json hu.json bn-IN.json ckb.json uk.json ru.json ts.json sr.json sw-TZ.json de.json ga.json ka.json eo.json rw.json hy.json ca.json mn.json gd.json kab.json xh.json kmr-Latn.json gu.json lt.json cs.json nl.json nso.json af.json kk.json ta.json mni.json si.json ur.json sah.json sl.json bo.json fy.json ks.json ja.json mr.json lo.json fr.json et.json gug.json dgo.json lv.json vi.json kl.json ss.json sat-Olck.json brx.json ast.json hr.json th.json el.json fi.json ro.json he.json br.json ti.json ml.json ab.json pt.json es.json my.json be.json sa-IN.json cy.json bn.json tg.json lb.json sk.json sr-Latn.json oc.json nb.json fur.json or.json zh-CN.json ar.json pt-BR.json tt.json ug.json ne.json it.json tl.json id.json jv.json kok.json te.json st.json mai.json vec.json tr.json ky.json as.json bg.json tn.json en-ZA.json nn.json sun.json sd.json gl.json hu-Hung.json sid.json zu.json am.json dz.json uz.json dsb.json kn.json en-GB.json nr.json zh-TW.json om.json ve.json mk.json hi.json fa.json bs.json sv.json az.json an.json pa-IN.json sat.json szl.json is.json pl.json km.json | wsd/FileServer.cpp:1406
